;category;description;tasks
0;Упражнения с числами;Перечислите следующие числовые последовательности:;Возрастающую на 1: 1, 2, 3, 4, ..., 100. Убывающую на 1: 100, 99, 98, 97, ..., 1.
1;Упражнения с числами;Перечислите возрастающие и убывающие последовательности:;Возрастающую на 2: 2, 4, 6, 8, ..., 100. Убывающую на 2: 100, 98, 96, 94, ..., 2.
2;Упражнения с числами;Перечислите возрастающие и убывающие последовательности:;Возрастающую на 3: 3, 6, 9, 12, ..., 99. Убывающую на 3: 99, 96, 93, 90, ..., 3.
3;Упражнения с числами;Перечислите возрастающие и убывающие последовательности:;Возрастающую на 4: 4, 8, 12, 16, ..., 100. Убывающую на 4: 100, 96, 92, 88, ..., 4.
4;Упражнения с числами;Перечислите возрастающие и убывающие последовательности:;Возрастающую на 5: 5, 10, 15, 20, ..., 100. Убывающую на 5: 100, 95, 90, 85, ..., 5.
5;Упражнения с числами;Перечислите возрастающие и убывающие последовательности:;Возрастающую на 6: 6, 12, 18, 24, ..., 96. Убывающую на 6: 96, 90, 84, 78, ..., 6.
6;Упражнения с числами;Перечислите возрастающие и убывающие последовательности:;Возрастающую на 7: 7, 14, 21, 28, ..., 98. Убывающую на 7: 98, 91, 84, 77, ..., 7.
7;Упражнения с числами;Перечислите возрастающие и убывающие последовательности:;Возрастающую на 8: 8, 16, 24, 32, ..., 96. Убывающую на 8: 96, 88, 80, 72, ..., 8.
8;Упражнения с числами;Перечислите возрастающие и убывающие последовательности:;Возрастающую на 9: 9, 18, 27, 36, ..., 99. Убывающую на 9: 99, 90, 81, 72, ..., 9.
9;Упражнения с числами;Перечислите попарно две последовательности:;Возрастающие на 2 и на 3: 2 - 3, 4 - 6, 6 - 9, 8 - 12, ..., 66 - 99. Убывающие на 2 и на 3: 66 - 99, 64 - 96, 62 - 93, 60 - 90, ..., 2 - 3.
10;Упражнения с числами;Перечислите попарно две последовательности:;Возрастающие на 3 и на 2: 3 - 2, 6 - 4, 9 - 6, 12 - 8, ..., 99 - 66. Убывающие на 3 и на 2: 99 - 66, 96 - 64, 93 - 62, 90 - 60, ..., 3 - 2.
11;Упражнения с числами;Перечислите попарно две последовательности:;Возрастающие на 3 и на 4: 3 - 4, 6 - 8, 9 - 12, 12 - 16, ..., 75 - 100. Убывающие на 3 и на 4: 75 - 100, 72 - 96, 69 - 92, 66 - 88, ..., 3 - 4.
